Metro,State,math_and_programming_jobs,median_metro_value,year,city_state,lat,lon
Ann Arbor,MI,7270,289664.5833,2002,"Ann Arbor, MI",42.266638,-83.849042
Ann Arbor,MI,5960,301841.6667,2003,"Ann Arbor, MI",42.266638,-83.849042
Appleton,WI,1210,108528.3333,2005,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1520,113546.6667,2006,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1900,114218.3333,2007,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1950,111958.3333,2008,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1860,109780,2009,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1690,110278.3333,2010,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1730,106850,2011,"Appleton, WI",44.275702,-88.370856
Appleton,WI,1640,104768.3333,2012,"Appleton, WI",44.275702,-88.370856
Appleton,WI,2030,107415,2014,"Appleton, WI",44.275702,-88.370856
Appleton,WI,2250,109558.3333,2015,"Appleton, WI",44.275702,-88.370856
Appleton,WI,2680,112706.6667,2016,"Appleton, WI",44.275702,-88.370856
Appleton,WI,2510,92451.66667,2000,"Appleton-Oshkosh-Neenah, WI",44.290005,-88.407506
Appleton,WI,2750,97138.33333,2004,"Appleton-Oshkosh-Neenah, WI",44.290005,-88.407506
Appleton,WI,2370,91655,2001,"Appleton-Oshkosh-Neenah, WI",44.290005,-88.407506
Appleton,WI,2330,92568.33333,2002,"Appleton-Oshkosh-Neenah, WI",44.290005,-88.407506
Appleton,WI,2590,96608.33333,2003,"Appleton-Oshkosh-Neenah, WI",44.290005,-88.407506
Asheville,NC,650,108033.3333,2000,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1480,136650,2004,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1690,158083.3333,2005,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1550,172545.8333,2006,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1540,182275,2007,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1670,180195.8333,2008,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1670,163925,2009,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1490,154483.3333,2010,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1650,149825,2011,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1860,149662.5,2012,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1730,152466.6667,2013,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1710,151704.1667,2014,"Asheville, NC",35.602711,-82.567281
